pan_id,dataproduct,ref,vea,rtn,rms,sza_left,sza_right
118,O4VIS,MeasLow,-2.0,IX,"[0.007258399999999999, 0.007950599999999995, 0.009525599999999997, 0.009787299999999999, 0.015958999999999997, 0.019808499999999996]","[28.54, 37.952, 47.364, 56.776, 66.187, 75.599]","[37.952, 47.364, 56.776, 66.187, 75.599, 85.011]"
118,O4VIS,MeasLow,-1.8,IW,[],[],[]
118,O4VIS,MeasLow,-1.8,IX,"[0.0068533, 0.008023500000000001, 0.009253250000000001, 0.00778195, 0.0068911, 0.005857]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,MeasLow,-1.6,IW,[],[],[]
118,O4VIS,MeasLow,-1.6,IX,"[0.0066586, 0.00791975, 0.00870825, 0.0072846, 0.0067196, 0.0057161]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,MeasLow,-1.2,IW,[],[],[]
118,O4VIS,MeasLow,-1.2,IX,"[0.005817299999999999, 0.00746975, 0.007544250000000001, 0.0066973, 0.0060368999999999996, 0.0049711]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,MeasLow,-1.1,IW,[],[],[]
118,O4VIS,MeasLow,-1.1,IX,"[0.006149699999999999, 0.0071595, 0.00839875, 0.007017949999999999, 0.0060915, 0.0053041500000000005]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,MeasLow,-1.0,IW,[],[],[]
118,O4VIS,MeasLow,-1.0,IX,"[0.00527695, 0.0063084000000000005, 0.0050764, 0.006951, 0.005504899999999999, 0.00437555]","[28.54, 28.748, 28.957, 29.166, 29.374, 29.582]","[28.748, 28.957, 29.166, 29.374, 29.582, 29.791]"
118,O4VIS,MeasLow,-0.8,IW,[],[],[]
118,O4VIS,MeasLow,-0.8,IX,"[0.004686999999999999, 0.00610025, 0.004677, 0.0062676, 0.0047225, 0.0037488]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,MeasLow,-0.6,IW,[],[],[]
118,O4VIS,MeasLow,-0.6,IX,"[0.0039875, 0.0054529999999999995, 0.0039136, 0.0052292, 0.0041112, 0.0029244]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,MeasLow,-0.4,IW,[],[],[]
118,O4VIS,MeasLow,-0.4,IX,"[0.0030609, 0.00349725, 0.002284, 0.0037191999999999998, 0.0026847, 0.00216905]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,MeasLow,-0.2,IW,[],[],[]
118,O4VIS,MeasLow,-0.2,IX,"[0.0022896, 0.00201225, 0.0015512, 0.0024169, 0.0016003999999999999, 0.00138625]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,MeasLow,0.0,IW,[],[],[]
118,O4VIS,MeasLow,0.0,IX,"[0.0017928999999999998, 0.00141475, 0.001188, 0.0017362, 0.0011882499999999999, 0.0010132000000000001]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,MeasLow,0.2,IW,[],[],[]
118,O4VIS,MeasLow,0.2,IX,"[0.0015015999999999999, 0.0010719500000000001, 0.00097618, 0.0013418, 0.0009761299999999999, 0.000862675]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,MeasLow,0.4,IW,[],[],[]
118,O4VIS,MeasLow,0.4,IX,"[0.0013652999999999998, 0.000992925, 0.0008608, 0.0012458, 0.0008726, 0.00077342]","[28.55, 28.757, 28.964, 29.17, 29.377, 29.584]","[28.757, 28.964, 29.17, 29.377, 29.584, 29.791]"
118,O4VIS,MeasLow,0.6,IW,[],[],[]
118,O4VIS,MeasLow,0.6,IX,"[0.0012518, 0.000899225, 0.00081604, 0.00115895, 0.00079119, 0.000726745]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,MeasLow,0.8,IW,[],[],[]
118,O4VIS,MeasLow,0.8,IX,"[0.0011961, 0.000837125, 0.00074822, 0.00107795, 0.000744985, 0.000715165]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,MeasLow,1.0,IW,[],[],[]
118,O4VIS,MeasLow,1.0,IX,"[0.0008594199999999992, 0.00070548, 0.0007393699999999999, 0.00082557, 0.0010382, 0.0039775999999999995]","[28.55, 37.954, 47.357, 56.76, 66.164, 75.568]","[37.954, 47.357, 56.76, 66.164, 75.568, 84.971]"
118,O4VIS,MeasLow,1.2,IW,[],[],[]
118,O4VIS,MeasLow,1.2,IX,"[0.0010999, 0.0008007, 0.00075866, 0.00097359, 0.00072194, 0.000676415]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,MeasLow,1.4,IW,[],[],[]
118,O4VIS,MeasLow,1.4,IX,"[0.0010844, 0.00078555, 0.00072552, 0.000924305, 0.00070288, 0.000671225]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,MeasLow,1.6,IW,[],[],[]
118,O4VIS,MeasLow,1.6,IX,"[0.0010658, 0.0007803249999999999, 0.00066748, 0.00095564, 0.00070123, 0.00065629]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,MeasLow,1.8,IW,[],[],[]
118,O4VIS,MeasLow,1.8,IX,"[0.0010693999999999999, 0.000759975, 0.00067072, 0.000950195, 0.000694105, 0.000644395]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,MeasLow,2.0,IW,[],[],[]
118,O4VIS,MeasLow,2.0,IX,"[0.0008054499999999999, 0.0006130699999999998, 0.00062802, 0.0006884749999999999, 0.00087137, 0.0033289999999999978]","[28.55, 37.927, 47.304, 56.68, 66.057, 75.434]","[37.927, 47.304, 56.68, 66.057, 75.434, 84.811]"
118,O4VIS,MeasLow,3.0,IW,[],[],[]
118,O4VIS,MeasLow,3.0,IX,"[0.0006113099999999999, 0.000521705, 0.0005501, 0.0005700499999999999, 0.000729065, 0.0020771000000000036]","[28.55, 37.902, 47.254, 56.606, 65.957, 75.309]","[37.902, 47.254, 56.606, 65.957, 75.309, 84.661]"
118,O4VIS,MeasLow,4.0,IW,[],[],[]
118,O4VIS,MeasLow,4.0,IX,"[0.0007598199999999993, 0.0005593, 0.0005901999999999999, 0.0006246349999999999, 0.00084914, 0.003035999999999999]","[28.55, 37.875, 47.2, 56.526, 65.851, 75.176]","[37.875, 47.2, 56.526, 65.851, 75.176, 84.501]"
118,O4VIS,MeasLow,5.0,IW,[],[],[]
118,O4VIS,MeasLow,5.0,IX,[],[],[]
118,O4VIS,MeasLow,6.0,IW,[],[],[]
118,O4VIS,MeasLow,6.0,IX,"[0.0005055999999999999, 0.00054332, 0.0005658699999999999, 0.0006011549999999998, 0.00077577, 0.0029305999999999976]","[29.0, 38.224, 47.447, 56.671, 65.894, 75.118]","[38.224, 47.447, 56.671, 65.894, 75.118, 84.341]"
118,O4VIS,MeasLow,8.0,IW,[],[],[]
118,O4VIS,MeasLow,8.0,IX,"[0.00050615, 0.000543125, 0.0005516799999999999, 0.0005979949999999999, 0.0007214199999999997, 0.003036399999999999]","[28.97, 38.174, 47.377, 56.58, 65.784, 74.988]","[38.174, 47.377, 56.58, 65.784, 74.988, 84.191]"
118,O4VIS,MeasLow,15.0,IW,[],[],[]
118,O4VIS,MeasLow,15.0,IX,"[0.00052204, 0.0005535199999999999, 0.0005411199999999999, 0.0005809599999999998, 0.0009124599999999997, 0.0015813999999999967]","[28.94, 38.124, 47.307, 56.491, 65.674, 74.858]","[38.124, 47.307, 56.491, 65.674, 74.858, 84.041]"
118,O4VIS,MeasLow,30.0,IW,[],[],[]
118,O4VIS,MeasLow,30.0,IX,"[0.0005244, 0.0005542499999999994, 0.00054455, 0.0005823599999999999, 0.0007214000000000001, 0.001288399999999998]","[28.91, 38.074, 47.237, 56.4, 65.564, 74.728]","[38.074, 47.237, 56.4, 65.564, 74.728, 83.891]"
118,O4VIS,MeasLow,90.0,IW,"[0.7906, 1.08e-07, 4.97035e-08, 4.979e-08, 5.4275e-08]","[91.17, 93.026, 93.49, 94.883, 95.347]","[91.634, 93.49, 93.955, 95.347, 95.811]"
118,O4VIS,MeasLow,90.0,IX,[],[],[]
118,O4VIS,RefFix,-5.0,IW,[],[],[]
